Source_File,ID,Task description,Task reference,CAT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INSPECTION AFTER HARD OR HARD OVERWEIGHT LANDING FOR AIRCRAFT WITH ENHANCED DMU/FDIMU LOAD REPORT 15,AMM 05-51-11-200-004-B,I/C
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,QUICK LEVELING PROCEDURE WITH THE ADIRU,AMM 08-21-00-200-001-A02,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PROCEDURE TO USE THE ADIRU/FQIC INPUT PARAMETERS TO FIND THE PITCH AND ROLL DATA,AMM 12-11-28-860-001/002-A,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CIRCUIT BREAKERS SAFETY PRACTICES,AMM 20-16-00-912-001-A,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ELECTRICAL BONDING,AMM 20-28-00,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REPLACEMENT OF ELECTRICAL CONNECTOR,ESPM 20-44,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REPLACEMENT OF ELECTRICAL MISCELLANEOUS ITEMS.,ESPM 20-45,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REPLACEMENT OF ELECTRICAL CIRCUIT BREAKER,ESPM 20-46,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REPLACEMENT OF RELAY.,ESPM 20-46,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REPLACEMENT OF TERMINALS AND CONTACTS,ESPM 20-48,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,"REPAIR AIRBUS WIRING (NORMAL CABLE, SENSITIVE CABLE, SCREEN CABLE, COXIAL CABLE, ...)",ESPM 20-53,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ELECTRICAL INSPECTION/CHECK,ESPM 20-52-11/12/13,I/C
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,"CONTINUITY TEST, SHORT CIRCUIT TEST, COAIXIAL CABLE TEST, INSULATION TEST",ESPM 20-52-21/22/23/24,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF THE AVIONICS EQUIPMENT VENTILATION-SYSTEM VIA MCDU,AMM 21-26-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF OVERRIDE FUNCTION (BLOWER AND EXTRACT),AMM 21-26-00-710-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST TO READ THE CFDS FOR CLASS 3 FAULTS OF THE AEVC,AMM 21-26-00-710-008-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE PRESSURE CONTROL AND MONITORING,AMM 21-31-00-710-002-A,FOT
